Ban1,Ban1Id,Ban2,Ban2Id,Entry_Datetime,LiveSpectators,Match,Match_Time,OfflineSpectators,Queue,RecordingFinished,RecordingStarted,Team1_AvgLevel,Team1_Gold,Team1_Kills,Team1_Score,Team2_AvgLevel,Team2_Gold,Team2_Kills,Team2_Score,WinningTeam,ret_msg
Fafnir,2136,Ao Kuang,2034,11/6/2016 6:04:19 PM,0,291746560,36,3,Conquest Ranked,11/6/2016 6:10:24 PM,11/6/2016 6:10:24 PM,20,93651,51,0,19,83771,37,0,1,
Freya,1784,Ao Kuang,2034,11/6/2016 5:56:03 PM,0,291744242,39,3,Conquest Ranked,11/6/2016 6:03:49 PM,11/6/2016 6:03:49 PM,20,92682,45,0,19,88318,44,0,2,
Ao Kuang,2034,Freya,1784,11/5/2016 8:20:17 PM,1,291469958,36,3,Conquest Ranked,11/5/2016 8:27:48 PM,11/5/2016 8:27:48 PM,19,82035,28,0,19,87307,35,0,2,
Ao Kuang,2034,Terra,2147,11/5/2016 1:17:52 AM,2,291231129,44,3,Conquest Challenge,11/5/2016 1:25:42 AM,11/5/2016 1:25:42 AM,20,92709,21,0,20,96260,23,0,2,
Nemesis,1980,Terra,2147,11/5/2016 12:22:34 AM,2,291219299,43,3,Conquest Challenge,11/5/2016 12:30:13 AM,11/5/2016 12:30:13 AM,20,104298,43,0,20,91877,29,0,1,
Scylla,1988,Freya,1784,11/4/2016 11:29:27 PM,0,291207209,31,3,Conquest Ranked,11/4/2016 11:38:01 PM,11/4/2016 11:38:01 PM,19,78188,40,0,18,65772,22,0,1,
Terra,2147,Ao Kuang,2034,11/4/2016 4:09:53 PM,0,291099072,42,3,Conquest Ranked,11/4/2016 4:16:28 PM,11/4/2016 4:16:28 PM,19,96431,42,0,20,100800,36,0,1,
Jing Wei,2122,Terra,2147,11/4/2016 7:47:12 AM,0,291039387,42,3,Conquest Ranked,11/4/2016 7:52:55 AM,11/4/2016 7:52:55 AM,20,91756,23,0,20,104863,43,0,2,
Terra,2147,Fafnir,2136,11/4/2016 1:40:11 AM,0,290999704,46,3,Conquest Ranked,11/4/2016 1:47:01 AM,11/4/2016 1:47:01 AM,20,102881,38,0,20,104574,42,0,1,
Scylla,1988,Ao Kuang,2034,11/4/2016 12:47:47 AM,1,290990136,31,3,Conquest Ranked,11/4/2016 12:55:36 AM,11/4/2016 12:55:36 AM,19,75214,37,0,18,66924,26,0,1,
Ao Kuang,2034,Terra,2147,11/3/2016 10:38:19 PM,2,290964226,36,3,Conquest Ranked,11/3/2016 10:44:56 PM,11/3/2016 10:44:56 PM,19,87209,43,0,19,80493,38,0,1,
Terra,2147,Freya,1784,11/3/2016 1:39:38 PM,0,290852623,34,3,Conquest Ranked,11/3/2016 1:47:33 PM,11/3/2016 1:47:33 PM,19,79408,30,0,19,81126,38,0,2,
Ao Kuang,2034,Scylla,1988,11/3/2016 1:32:25 AM,1,290782735,38,3,Conquest Ranked,11/3/2016 1:38:31 AM,11/3/2016 1:38:31 AM,19,80985,27,0,20,88858,27,0,1,
Ao Kuang,2034,Scylla,1988,11/2/2016 1:35:13 AM,1,290552726,31,3,Conquest Ranked,11/2/2016 1:42:07 AM,11/2/2016 1:42:07 AM,19,77345,27,0,18,69658,20,0,1,
Terra,2147,Ao Kuang,2034,11/2/2016 12:56:59 AM,0,290545310,37,3,Conquest Ranked,11/2/2016 1:03:20 AM,11/2/2016 1:03:20 AM,19,77398,29,0,20,95419,40,0,2,
Terra,2147,Janus,1999,11/1/2016 6:56:48 PM,0,290463928,32,3,Conquest Ranked,11/1/2016 7:04:08 PM,11/1/2016 7:04:08 PM,20,88748,44,0,19,73129,22,0,1,
Terra,2147,Freya,1784,11/1/2016 5:16:45 AM,0,290348475,42,3,Conquest Ranked,11/1/2016 5:24:06 AM,11/1/2016 5:24:06 AM,19,91414,29,0,19,103314,55,0,2,
Ao Kuang,2034,Erlang Shen,2138,10/31/2016 3:47:29 AM,0,290091655,33,3,Conquest Ranked,10/31/2016 3:54:28 AM,10/31/2016 3:54:28 AM,19,72016,13,0,20,79551,17,0,2,
Ratatoskr,2063,Fafnir,2136,10/30/2016 10:44:30 AM,0,289842948,37,3,Conquest Ranked,10/30/2016 10:49:37 AM,10/30/2016 10:49:37 AM,20,90435,42,0,19,79529,40,0,1,
