,recommendations,win_rate,win_rate_per_cost
Starter Item,Mark of the Vanguard,,
Boots,Shoes of Focus,0.47580645161290325,2.98245614035
Item2,Hide of the Urchin,0.4473684210526316,1.86403508772
Item3,Sovereignty,0.5403225806451613,2.13032581454
Item4,Breastplate of Valor,0.46,1.94508009153
Item5,Genji's Guard,0.516129032258,2.34604105572
Item6,Witchblade,0.515151515152,3.15638450502
Relic1,Purification,0.48,
Relic2,Curse,0.462686567164,
