Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Transcendence,22.76820801584856,0.6363636363636364,Transcendence,22.76820801584856,0.6363636363636364,Warrior Tabi,0.8956551934386503,4.069478908188586
Warrior Tabi,13.88265549829908,0.6307692307692307,Warrior Tabi,13.88265549829908,0.6307692307692307,Transcendence,0.8757003083018678,2.4475524475524475
Qin's Sais,12.888633596794385,0.631578947368421,Qin's Sais,12.888633596794385,0.631578947368421,Jotunn's Wrath,0.4866052523612135,2.689549180327869
Asi,5.073470323028079,0.5952380952380952,Bloodforge,12.766362303392834,0.68,Qin's Sais,0.47735679988127355,2.3391812865497075
Ninja Tabi,-7.637236316045261,0.5142857142857142,Jotunn's Wrath,11.873168157613609,0.65625,Bloodforge,0.4479425369611521,2.3859649122807016
Jotunn's Wrath,11.873168157613609,0.65625,Hastened Fatalis,5.135215766768683,0.6071428571428571,Asi,0.28502642264202693,3.3440342429106473
