Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Shoes of Focus,-0.10160192541096935,0.3893805309734513,Mystical Mail,23.03705470865066,0.6428571428571429,Mystical Mail,0.8532242484685431,2.380952380952381
Heartward Amulet,4.64833943213268,0.4146341463414634,Sovereignty,15.082805852120382,0.43661971830985913,Sovereignty,0.7182288501009706,2.079141515761234
Sovereignty,15.082805852120382,0.43661971830985913,Spirit Robe,5.770834569247576,0.4375,Spirit Robe,0.23458677110762502,1.7784552845528456
Breastplate of Valor,-24.39617572325769,0.3,Heartward Amulet,4.64833943213268,0.4146341463414634,Heartward Amulet,0.22134949676822285,1.9744483159117305
Bulwark of Hope,-16.732720336214594,0.32608695652173914,Genji's Guard,3.5021150471825178,0.4,Genji's Guard,0.15918704759920535,1.8181818181818181
Hide of the Urchin,-14.047488974979641,0.2972972972972973,Shoes of Focus,-0.10160192541096935,0.3893805309734513,Shoes of Focus,-0.006773461694064623,2.5958702064896757
