Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Warrior Tabi,-0.1725474261869035,0.5036231884057971,Deathbringer,4.096362708271977,0.5815789473684211,Deathbringer,0.12801133463349929,1.8174342105263157
Wind Demon,2.809954799214091,0.5528846153846154,Wind Demon,2.809954799214091,0.5528846153846154,Wind Demon,0.10807518458515736,2.1264792899408285
Deathbringer,4.096362708271977,0.5815789473684211,Malice,2.2467143596587165,0.6481481481481481,Titan's Bane,0.09888466275578003,2.80322260236177
Bumba's Mask,-2.7695482300132443,0.4235294117647059,Titan's Bane,2.0271355864934906,0.5746606334841629,Asi,0.08538611476491068,3.43957807842238
Titan's Bane,2.0271355864934906,0.5746606334841629,Stone Cutting Sword,1.7476534965952621,0.7017543859649122,Malice,0.07489047865529054,2.1604938271604937
Bloodforge,0.23992411681419326,0.5238095238095238,Asi,1.51987284281541,0.6122448979591837,Stone Cutting Sword,0.06721744217674085,2.699055330634278
