Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Warrior Tabi,-2.205876630781052,0.48185483870967744,Titan's Bane,11.804877284470692,0.581981981981982,Titan's Bane,0.5758476724132044,2.8389364974730826
Jotunn's Wrath,0.8672529259817119,0.4963680387409201,Brawler's Beat Stick,9.084760673050326,0.5988857938718662,Brawler's Beat Stick,0.37853169471043024,2.49535747446611
Titan's Bane,11.804877284470692,0.581981981981982,Mantle of Discord,3.859604277136728,0.5930232558139535,Void Shield,0.1250900159436159,1.9867549668874172
Bumba's Mask,-10.631867211946238,0.37701149425287356,Void Shield,3.377430430477629,0.5364238410596026,Mantle of Discord,0.12450336377860413,1.9129782445611403
Hydra's Lament,1.787753511243252,0.5072815533980582,Hydra's Lament,1.787753511243252,0.5072815533980582,Hydra's Lament,0.08315132610433731,2.359449085572364
Brawler's Beat Stick,9.084760673050326,0.5988857938718662,Hide of the Urchin,1.5395534389483032,0.5671641791044776,Hide of the Urchin,0.0641480599561793,2.36318407960199
