Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Warrior Tabi,-0.5913179421491317,0.5145985401459854,Hydra's Lament,6.7773113599034485,0.5604395604395604,Hydra's Lament,0.3152237841815557,2.606695629951444
Transcendence,0.38479126997836416,0.5180467091295117,Titan's Bane,5.8583553496193375,0.5623268698060941,Titan's Bane,0.28577343168874814,2.743057901493142
Jotunn's Wrath,4.833110510527323,0.5419354838709678,Brawler's Beat Stick,5.038786308983548,0.6013986013986014,Brawler's Beat Stick,0.2099494295409812,2.5058275058275057
Hydra's Lament,6.7773113599034485,0.5604395604395604,Jotunn's Wrath,4.833110510527323,0.5419354838709678,Jotunn's Wrath,0.19807829961177556,2.22104706504495
Titan's Bane,5.8583553496193375,0.5623268698060941,The Crusher,2.5793683300426005,0.5633802816901409,The Crusher,0.11214644913228698,2.449479485609308
Brawler's Beat Stick,5.038786308983548,0.6013986013986014,Deathbringer,0.9057427176055677,0.5666666666666667,Deathbringer,0.02830445992517399,1.7708333333333333
