Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Warrior Tabi,-2.145829534848193,0.47435897435897434,Titan's Bane,7.93958619661663,0.5783132530120482,Titan's Bane,0.3872968876398356,2.821040258595357
Jotunn's Wrath,0.8077380866018051,0.49264705882352944,Hastened Fatalis,6.7018995048212755,0.9090909090909091,Hastened Fatalis,0.31317287405706895,4.248088360237893
Titan's Bane,7.93958619661663,0.5783132530120482,Hydra's Lament,5.467177440123494,0.5443037974683544,Hydra's Lament,0.25428732279644156,2.5316455696202533
Hydra's Lament,5.467177440123494,0.5443037974683544,Bulwark of Hope,4.441709564044106,0.64,Bulwark of Hope,0.1759092896651131,2.5346534653465347
Bloodforge,1.5803242981565138,0.5079365079365079,Hide of the Urchin,4.119122034233749,0.8,Hide of the Urchin,0.17163008475973957,3.3333333333333335
Bumba's Mask,-2.4512692252002037,0.4117647058823529,Deathbringer,3.7386755339559956,0.6470588235294118,Breastplate of Valor,0.14731541179309968,2.691511387163561
