Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Warrior Tabi,-0.2544119713858221,0.5427553444180523,Titan's Bane,34.187189824708334,0.6330798479087453,Titan's Bane,1.667667796327236,3.0881943800426597
Jotunn's Wrath,24.135939952095658,0.5674931129476584,Brawler's Beat Stick,33.10743641051183,0.67,Brawler's Beat Stick,1.3794765171046597,2.7916666666666665
Titan's Bane,34.187189824708334,0.6330798479087453,Jotunn's Wrath,24.135939952095658,0.5674931129476584,Jotunn's Wrath,0.9891778668891664,2.3257914465067966
Bumba's Mask,-19.05388208202298,0.41595441595441596,Mantle of Discord,16.765893362084324,0.643312101910828,Bulwark of Hope,0.6285824918694597,2.593116454502593
Hydra's Lament,0.1411797378857236,0.5575221238938053,Bulwark of Hope,15.871707919703857,0.6547619047619048,Mantle of Discord,0.5408352697446556,2.0752003287446064
Brawler's Beat Stick,33.10743641051183,0.67,Shifter's Shield,12.832336468662403,0.6470588235294118,Shifter's Shield,0.5346806861942668,2.696078431372549
