Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Shoes of the Magi,3.4331994681580333,0.4888888888888889,Rod of Tahuti,26.350810188112156,0.6146179401993356,Rod of Tahuti,0.7936991020515709,1.851258856022095
Obsidian Shard,6.103945309098772,0.5208333333333334,Doom Orb,6.15740594990502,0.5833333333333334,Doom Orb,0.3003612658490254,2.845528455284553
Book of Thoth,6.155381223388921,0.5058275058275058,Book of Thoth,6.155381223388921,0.5058275058275058,Obsidian Shard,0.2977534297121352,2.540650406504065
Soul Stone,-6.978529014960875,0.4259818731117825,Obsidian Shard,6.103945309098772,0.5208333333333334,Book of Thoth,0.23227853673165738,1.9087830408585125
Rod of Tahuti,26.350810188112156,0.6146179401993356,Shoes of the Magi,3.4331994681580333,0.4888888888888889,Shoes of the Magi,0.21457496675987706,3.0555555555555554
Warlock's Sash,-5.207921917471898,0.4664429530201342,Dynasty Plate Helm,2.8081740968274276,0.5073529411764706,Dynasty Plate Helm,0.16518671157808398,2.9844290657439445
