Relics_most_pop,Relics_most_pop_L2,Relics_most_pop_winrate,Relics_most_pop_wr_paired,Relics_L2,Relics_L2_coef,Relics_L2_winrate,Relics_L2_wr_paired
Purification,0.4686732761320445,0.49375,0.506976744186,Sanctuary,1.287655658741213,0.5018587360594795,0.506976744186
Sanctuary,1.287655658741213,0.5018587360594795,,Purification,0.4686732761320445,0.49375,
