Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Warrior Tabi,-0.018104577994854563,0.489247311827957,Void Shield,7.566485923113481,0.7241379310344828,Titan's Bane,0.28339780534389264,2.7546628407460547
Jotunn's Wrath,1.802127580184521,0.5,Mantle of Discord,6.860835061857376,0.6875,Void Shield,0.28024021937457333,2.681992337164751
Hydra's Lament,-5.391215040948107,0.4424778761061947,Titan's Bane,5.8096550095497985,0.5647058823529412,Mantle of Discord,0.22131726005991537,2.217741935483871
Deathbringer,2.4491170139162004,0.5227272727272727,Shifter's Shield,4.27100841214893,0.6666666666666666,Shifter's Shield,0.17795868383953875,2.7777777777777777
Titan's Bane,5.8096550095497985,0.5647058823529412,Brawler's Beat Stick,3.8616209150955245,0.5945945945945946,Brawler's Beat Stick,0.16090087146231352,2.4774774774774775
Bumba's Mask,-4.983815440086592,0.40298507462686567,Deathbringer,2.4491170139162004,0.5227272727272727,Deathbringer,0.07653490668488126,1.6335227272727273
