Relics_most_pop,Relics_most_pop_L2,Relics_most_pop_winrate,Relics_most_pop_wr_paired,Relics_L2,Relics_L2_coef,Relics_L2_winrate,Relics_L2_wr_paired
Sprint,-115.09605986836502,0.5,1.0,Frenzy,-27.29962652898647,0.5,1.0
Meditation,-98.9824870833295,0.4878048780487805,,Sanctuary,-34.20878433280372,0.48936170212765956,
