Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Shoes of Focus,-5.425934609414178,0.45098039215686275,Gem of Isolation,9.44057579944554,0.5897435897435898,Heartward Amulet,0.44250076593003834,2.490170380078637
Lotus Crown,3.2431988897160995,0.4808743169398907,Rod of Asclepius,9.303198408647798,0.5319148936170213,Reinforced Shoes,0.35965623360323457,3.861003861003861
Heartward Amulet,9.292516084530805,0.5229357798165137,Heartward Amulet,9.292516084530805,0.5229357798165137,Rod of Asclepius,0.34974430107698484,1.9996800511918094
Breastplate of Valor,-10.46216053798594,0.3979591836734694,Winged Blade,5.194429985777642,0.5769230769230769,Gem of Isolation,0.34965095553502,2.184235517568851
Rod of Asclepius,9.303198408647798,0.5319148936170213,Reinforced Shoes,5.0351872704452845,0.5405405405405406,Winged Blade,0.28077999923122393,3.1185031185031185
Sovereignty,-0.4619187448358153,0.4864864864864865,Lotus Crown,3.2431988897160995,0.4808743169398907,Lotus Crown,0.15820482388859022,2.34572837531654
