,recommendations,win_rate,win_rate_per_cost
Starter Item,Mark of the Vanguard,,
Boots,Reinforced Shoes,0.614035087719,4.35540069686
Item2,Sovereignty,0.5689655172413793,2.70935960591
Item3,Heartward Amulet,0.5636363636363636,2.70935960591
Item4,Bulwark of Hope,0.5051546391752577,2.25332878115
Item5,Mystical Mail,0.609756097561,2.27420402859
Item6,Winged Blade,0.571428571429,3.0888030888
Relic1,Meditation,0.539130434783,
Relic2,Phantom,0.522727272727,
