Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Warrior Tabi,-0.9857164548500561,0.4434156378600823,Brawler's Beat Stick,20.619318683706165,0.5757575757575758,Brawler's Beat Stick,0.8591382784877569,2.398989898989899
Jotunn's Wrath,0.31031489240398813,0.45322793148880103,Hydra's Lament,17.39475404884319,0.5177865612648221,Hydra's Lament,0.8090583278531717,2.4083095872782425
Bumba's Mask,-31.583647592019492,0.33766233766233766,Mantle of Discord,14.309548278978824,0.5721925133689839,Shifter's Shield,0.49861503286339826,2.4479166666666665
Titan's Bane,9.280941158960596,0.5059665871121718,Shifter's Shield,11.966760788721558,0.5875,Hide of the Urchin,0.46778642603931125,2.2388059701492535
Void Shield,4.172971271070637,0.46598639455782315,Hide of the Urchin,11.22687422494347,0.5373134328358209,Mantle of Discord,0.46159833157996205,1.8457823011902708
Breastplate of Valor,-10.435915000699131,0.403921568627451,Titan's Bane,9.280941158960596,0.5059665871121718,Titan's Bane,0.4527288370224682,2.4681296932301064
