Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Warrior Tabi,13.202392922714095,0.4780023781212842,Stone Cutting Sword,41.923739062428574,0.5795148247978437,Stone Cutting Sword,1.612451502401099,2.2289031722993986
Qin's Sais,34.53371059196533,0.5497382198952879,Qin's Sais,34.53371059196533,0.5497382198952879,Heartseeker,1.4557248418775688,2.832244008714597
Bumba's Mask,-18.269016863678182,0.3691931540342298,Hydra's Lament,28.256107817111964,0.5263157894736842,Hydra's Lament,1.3142375728889286,2.4479804161566707
Jotunn's Wrath,-4.890487643199947,0.4835443037974684,Heartseeker,26.203047153796238,0.5098039215686274,Qin's Sais,1.2790263182209383,2.036067481093659
Stone Cutting Sword,41.923739062428574,0.5795148247978437,Bloodforge,25.154736111444585,0.5352112676056338,Asi,1.1537923931576877,3.025064822817632
Ichaival,7.881792940723158,0.48188405797101447,Wind Demon,23.52532192603507,0.5714285714285714,Titan's Bane,1.0090835459233298,2.6398852223816354
