Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Acorn of Yggdrasil,5.967859967633606,0.5402843601895735,Mantle of Discord,29.604903231843004,0.6585014409221902,Titan's Bane,1.0046624601241028,2.937688427850887
Jotunn's Wrath,16.364075481023683,0.556062333713417,Titan's Bane,20.595580432544107,0.6022261277094317,Mantle of Discord,0.9549968784465486,2.1241981965231944
Titan's Bane,20.595580432544107,0.6022261277094317,Brawler's Beat Stick,18.64406636782167,0.6098081023454158,Brawler's Beat Stick,0.7768360986592362,2.540867093105899
Bumba's Mask,-6.018349732702445,0.4645786726323639,Bloodforge,18.116500310427877,0.6257668711656442,Jotunn's Wrath,0.6706588311894952,2.278943990628758
Hydra's Lament,-2.4156264210133904,0.5414781297134238,Jotunn's Wrath,16.364075481023683,0.556062333713417,Bloodforge,0.6356666775588729,2.195673232160155
Void Shield,-3.6745320719690904,0.5490981963927856,Transcendence,14.273311414343478,0.6031746031746031,Transcendence,0.5489735159362876,2.31990231990232
