Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Warrior Tabi,-0.9524685084228552,0.4444444444444444,Titan's Bane,11.503294358574962,0.5206611570247934,Titan's Bane,0.5611363101743884,2.539810522072163
Jotunn's Wrath,-5.816054995599198,0.43478260869565216,Stone Cutting Sword,11.187016259151022,0.7647058823529411,Stone Cutting Sword,0.43026985612119323,2.9411764705882355
Bloodforge,-5.421542062401896,0.4297520661157025,Brawler's Beat Stick,9.51767901269476,0.5945945945945946,Brawler's Beat Stick,0.3965699588622817,2.4774774774774775
Titan's Bane,11.503294358574962,0.5206611570247934,Deathbringer,9.319805618158583,0.5945945945945946,Asi,0.3939218449322375,3.329171868497711
Hydra's Lament,3.6857479648236864,0.48,Mantle of Discord,8.832926494714037,0.6206896551724138,Winged Blade,0.38806302908942103,3.5135135135135136
Bumba's Mask,-8.875909448771125,0.34375,Qin's Sais,7.726237827109396,0.6842105263157895,Deathbringer,0.2912439255674557,1.8581081081081081
