,recommendations,win_rate,win_rate_per_cost
Starter Item,Bumba's Mask,,
Boots,Warrior Tabi,0.49406175771971494,2.22599509527
Item2,Titan's Bane,0.5969387755102041,1.68306946227
Item3,Deathbringer,0.5672514619883041,1.07821637427
Item4,Jotunn's Wrath,0.5112359550561798,1.41405426134
Item5,Brawler's Beat Stick,0.567251461988,2.60416666667
Item6,Winged Blade,0.625,3.8038038038
Relic1,Wrath,0.517730496454,
Relic2,Blink,0.518134715026,
