Relics_most_pop,Relics_most_pop_L2,Relics_most_pop_winrate,Relics_most_pop_wr_paired,Relics_L2,Relics_L2_coef,Relics_L2_winrate,Relics_L2_wr_paired
Meditation,11.128650981496776,0.552437223042836,0.25,Blink,16.845847755445483,0.6515151515151515,0.25
Shell,-6.93935960713796,0.5357664233576642,,Teleport,14.302868680910633,0.5555555555555556,
