Items_most_pop,Items_most_pop_L2,Items_most_pop_winrate,Items_L2,Items_L2_coef,Items_L2_winrate,Items_gold_adjusted_L2,Items_gold_adjusted_L2_coef,Items_gold_adjusted_L2_winrate
Warrior Tabi,-19.632119450683923,0.4434782608695652,Mantle of Discord,135.84566387177932,0.5416666666666666,Winged Blade,4.572527314053855,3.6036036036036037
Jotunn's Wrath,-36.62271620015894,0.43434343434343436,Shifter's Shield,105.11772674627751,0.6,Mantle of Discord,4.382118189412236,1.7473118279569892
Titan's Bane,29.79666696101082,0.4838709677419355,Stone Cutting Sword,99.46795438347762,0.7142857142857143,Shifter's Shield,4.379905281094897,2.5
Brawler's Beat Stick,-80.64411835017837,0.4,Spirit Robe,90.12432877531914,0.625,Stone Cutting Sword,3.825690553210678,2.7472527472527473
Hydra's Lament,69.27435491543721,0.5,Winged Blade,84.5917553099963,0.6666666666666666,Spirit Robe,3.663590600622729,2.540650406504065
Bumba's Mask,-2.5270911523590005,0.375,Hydra's Lament,69.27435491543721,0.5,Hydra's Lament,3.2220630193226607,2.3255813953488373
